storage_filesystem_path, first_date, days, first_date_usage, last_date_usage, difference, maximum, minimum, average, standard_deviation, variance
/storage2/fs1/amlai, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/wucci, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cmasteller, 2025-02-01, 29, 3.42, 3.43, 0.01, 3.43, 3.42, 3.43, 0.0, 0.0
/storage2/fs1/meers, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shawp, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/sinclair.deborah, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cao.yang, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/elyn, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/xmartin, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/chsieh, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/rouse, 2025-02-01, 29, 0.0, 0.01, 0.01, 0.09, 0.0, 0.01, 0.02, 0.0
/storage2/fs1/yixin.chen, 2025-02-01, 29, 2.62, 2.62, 0.0, 2.62, 2.62, 2.62, 0.0, 0.0
/storage2/fs1/ger, 2025-02-01, 29, 0.02, 0.02, 0.0, 0.02, 0.02, 0.02, 0.0, 0.0
/storage2/fs1/maihe, 2025-02-01, 29, 0.88, 0.88, 0.0, 0.88, 0.88, 0.88, 0.0, 0.0
/storage2/fs1/mmahjoub, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/likai.chen, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/slenze, 2025-02-01, 29, 1.05, 1.05, 0.0, 1.05, 1.05, 1.05, 0.0, 0.0
/storage2/fs1/jmding, 2025-02-01, 29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/lima, 2025-02-01, 29, 0.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.0, 0.0
