storage_filesystem_path, first_date, days, first_date_usage, last_date_usage, difference, maximum, minimum, average, standard_deviation, variance
/storage2/fs1/amlai, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/wucci, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cmasteller, 2025-01-01, 31, 3.42, 3.42, 0.0, 3.42, 3.42, 3.42, 0.0, 0.0
/storage2/fs1/meers, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shawp, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/sinclair.deborah, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/cao.yang, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/elyn, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/xmartin, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/chsieh, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/rouse, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/yixin.chen, 2025-01-01, 31, 2.62, 2.62, 0.0, 2.62, 2.62, 2.62, 0.0, 0.0
/storage2/fs1/ger, 2025-01-01, 31, 0.02, 0.02, 0.0, 0.02, 0.02, 0.02, 0.0, 0.0
/storage2/fs1/maihe, 2025-01-01, 31, 0.88, 0.88, 0.0, 0.88, 0.88, 0.88, 0.0, 0.0
/storage2/fs1/mmahjoub, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/likai.chen, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/slenze, 2025-01-01, 31, 1.05, 1.05, 0.0, 1.05, 1.05, 1.05, 0.0, 0.0
/storage2/fs1/jmding, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/lima, 2025-01-01, 31, 0.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.0, 0.0
/storage2/fs1/debabratapatra, 2025-01-01, 31, 1.2, 1.2, 0.0, 1.2, 1.2, 1.2, 0.0, 0.0
/storage2/fs1/molly.schroeder, 2025-01-01, 31, 4.02, 4.02, 0.0, 4.02, 4.02, 4.02, 0.0, 0.0
/storage2/fs1/shao.j, 2025-01-01, 31, 0.24, 0.24, 0.0, 0.24, 0.24, 0.24, 0.0, 0.0
/storage2/fs1/cifarelli, 2025-01-01, 31, 1.07, 1.07, 0.0, 1.07, 1.07, 1.07, 0.0, 0.0
/storage2/fs1/sleong_summer, 2025-01-01, 31, 0.72, 0.72, 0.0, 0.72, 0.72, 0.72, 0.0, 0.0
/storage2/fs1/englands, 2025-01-01, 31, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0
/storage2/fs1/w.qian, 2025-01-01, 31, 0.07, 0.12, 0.05, 0.12, 0.07, 0.09, 0.02, 0.0
/storage2/fs1/rfugina, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/daryls3, 2025-01-01, 31, 0.0, 0.03, 0.03, 0.03, 0.0, 0.01, 0.01, 0.0
/storage2/fs1/kdandurand, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/abrummett, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/vtieppofrancio, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/kirilloff, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/shaffique, 2025-01-01, 31, 0.2, 0.47, 0.27, 0.47, 0.2, 0.38, 0.09, 0.01
/storage2/fs1/kongf, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/yany, 2025-01-01, 31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
/storage2/fs1/dricardo, 2025-01-01, 31, 0.89, 2.37, 1.48, 2.37, 0.89, 1.63, 0.68, 0.46
