128	126	True	Structures and Building Systems	622		120
129	126	True	Mechanics and Materials	623		120
130	126	True	Surface Engineering and Tribology	625		120
131	120	False	Electrical and Communication Systems	630	ECS	120
132	131	True	Quantum Electronics, Waves, and Beams	631		120
133	131	True	Solid-State and Microstructures	632		120
134	131	True	Communications and Computational Systems	633		120
135	131	True	Engineering Systems	634		120
136	131	True	Emerging Technologies Initiation	635		120
137	120	False	Design and Manufacturing Systems	640	DDM	120
138	137	True	Operations Research and Production Systems	641		120
139	137	True	Design and Computer-Integrated Engineering	642		120
140	137	True	Manufacturing Processes and Equipment	643		120
141	120	False	Biological and Critical Systems	650	BCS	120
142	141	True	Bioengineering Aiding the Disabled	651		120
143	141	True	Environmental and Ocean Systems	652		120
144	141	True	Earthquake Hazard Mitigation	653		120
145	141	True	Natural and Man-Made Hazard Mitigation	654		120
146	120	True	Engineering Centers	660	ECD	120
147	120	True	Engineering Infrastructure Development	670	EID	120
148	120	True	Industrial Science and Technological Innovation	680	ISI	120
149	self	True	Other	900		149
150	149	True	Science and Engineering Education	910	SEE	149
151	149	True	Small Business Innovation Research	920	SBR	149
152	149	True	Industrial Partners Research	930	IND	149
153	149	True	Center Systems Staff	940	STA	149
154	149	True	Training	950	TRA	149
155	149	True	Block Grants	960		149
156	self	False	Humanities/Arts	700	HUA	156
157	156	True	Humanities	710	HUM	156
158	156	True	Arts	720	ART	156
